route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,0,1,,,3,,,
11,0,11,,,3,,,
11X,0,11X,,,3,,,
12,0,12,,,3,,,
12S,0,12S,,,3,,,
12X,0,12X,,,3,,,
13,0,13,,,3,,,
14,0,14,,,3,,,
14X,0,14X,,,3,,,
15,0,15,,,3,,,
16,0,16,,,3,,,
16X,0,16X,,,3,,,
17,0,17,,,3,,,
17S,0,17S,,,3,,,
18,0,18,,,3,,,
18S,0,18S,,,3,,,
19,0,19,,,3,,,
19S,0,19S,,,3,,,
1X,0,1X,,,3,,,
2,0,2,,,3,,,
20,0,20,,,3,,,
21,0,21,,,3,,,
22,0,22,,,3,,,
24,0,24,,,3,,,
25,0,25,,,3,,,
26,0,26,,,3,,,
27,0,27,,,3,,,
28,0,28,,,3,,,
29,0,29,,,3,,,
3,0,3,,,3,,,
3S,0,3S,,,3,,,
3X,0,3X,,,3,,,
4,0,4,,,3,,,
49,0,49,,,3,,,
4S,0,4S,,,3,,,
4X,0,4X,,,3,,,
5,0,5,,,3,,,
50,0,50,,,3,,,
51,0,51,,,3,,,
52,0,52,,,3,,,
53,0,53,,,3,,,
54,0,54,,,3,,,
55,0,55,,,3,,,
57,0,57,,,3,,,
5X,0,5X,,,3,,,
6,0,6,,,3,,,
6X,0,6X,,,3,,,
7,0,7,,,3,,,
7S,0,7S,,,3,,,
7X,0,7X,,,3,,,
8,0,8,,,3,,,
8S,0,8S,,,3,,,
8X,0,8X,,,3,,,
9,0,9,,,3,,,
EXPR,0,EXPR,,,3,,,
