stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,1,Station du Dépôt,,45.401387,-71.889063,,,,
1002,1002,boul. Industriel (no.3975),,45.397892,-71.963234,,,,
1003,1003,de Varennes / Bertrand-Fabi,,45.382910,-71.963074,,,,
1004,1004,boul. Queen-Victoria / des Sables,,45.419668,-71.907766,,,,
1005,1005,boul. Queen-Victoria / des Écossais,,45.448497,-71.930972,,,,
1006,1006,boul. Queen-Victoria / Veronneau,,45.459540,-71.933150,,,,
1007,1007,Paquin / Mullins,,45.468714,-71.934984,,,,
1008,1008,Mullins / Meunier,,45.470356,-71.935904,,,,
1009,1009,Mullins / Ledoux,,45.471235,-71.939328,,,,
1010,1010,Beaudoin / Saint-Jean-Baptiste,,45.470377,-71.940989,,,,
1011,1011,de la Croix / Oliva-Turgeon,,45.470986,-71.944187,,,,
1012,1012,de Gaspé / du Président-Kennedy,,45.365760,-71.993841,,,,
1013,1013,de Gaspé / Hervé,,45.366283,-71.991903,,,,
1014,1014,Centre Récréatif Rock Forest,,45.367767,-71.990100,,,,
1015,1015,de Gaspé / du Haut-Bois Sud,,45.368713,-71.988411,,,,
1017,1017,Oliva-Turgeon / du Sénateur-Tobin,,45.469879,-71.945606,,,,
1018,1018,boul. Jacques-Cartier Nord / boul. de Portland,,45.403487,-71.918445,,,,
1019,1019,Parc industriel Gene H. Kruger,,45.467632,-71.948706,,,,
1020,1020,des PME / Laval,,45.468662,-71.950212,,,,
1021,1021,boul. Queen-Victoria / Claude-Greffard,,45.443495,-71.925275,,,,
1023,1023,École secondaire de Bromptonville,,45.472002,-71.951285,,,,
1024,1024,Saint-Lambert / Noémie-Fortin,,45.474728,-71.947483,,,,
1026,1026,Brûlotte/ Ernest-Therriault,,45.429107,-71.859708,,,,
1027,1027,Brûlotte/ Ernest-Therriault,,45.429222,-71.859757,,,,
1028,1028,Brûlotte / du Vice-Roy,,45.431139,-71.858020,,,,
103,103,Queen / College,,45.366900,-71.856441,,,,
1030,1030,Parc Maillé,,45.424978,-71.864887,,,,
1031,1031,Saint-Lambert / route de Windsor,,45.475056,-71.943249,,,,
1032,1032,Galeries Quatre-Saisons,,45.420921,-71.869616,,,,
1033,1033,du Baron / des Pélerins,,45.429214,-71.887061,,,,
1034,1034,des Pélerins / du Sanctuaire,,45.444122,-71.887614,,,,
1035,1035,Champêtre / du Sanctuaire,,45.440333,-71.900518,,,,
1036,1036,Notre-Dame / du Curé-LaRocque,,45.473314,-71.950073,,,,
1037,1037,Lajeunesse / Des Pélerins,,45.431743,-71.887409,,,,
1038,1038,des Cimes / Champêtre,,45.436702,-71.899283,,,,
1039,1039,du Baron / des Pélerins,,45.429569,-71.887349,,,,
104,104,Queen (no.172),,45.369297,-71.856723,,,,
1041,1041,CHUS Fleurimont (Porte 35),,45.447219,-71.867627,,,,
1042,1042,Route de Windsor (no.51),,45.479512,-71.941283,,,,
1043,1043,Arsenault / Dunant,,45.381713,-71.901905,,,,
1044,1044,Richard (no.3574),,45.406694,-71.953227,,,,
1047,1047,Beckett / boul. Jacques-Cartier Nord,,45.416754,-71.919218,,,,
1049,1049,boul. Queen Victoria / Claude-Greffard,,45.443325,-71.925304,,,,
1050,1050,Racine / Ernest-Bergeron,,45.481662,-71.947314,,,,
1052,1052,Prospect (no.2525),,45.410105,-71.933936,,,,
1053,1053,LaRocque / de Mère-Terésa,,45.391193,-71.890412,,,,
1056,1056,Murray (CHUS - Hôtel-Dieu),,45.399704,-71.877361,,,,
1057,1057,Wellington Sud / Aberdeen,,45.397544,-71.888090,,,,
1059,1059,Galt / Belvédère,,45.394000,-71.896299,,,,
106,106,Queen / John-Wilson,,45.372227,-71.859173,,,,
1061,1061,Route de Windsor (no.65),,45.479505,-71.941594,,,,
1062,1062,Saint-Lambert / route de Windsor,,45.475179,-71.943207,,,,
1063,1063,Saint-Lambert / Noémie-Fortin,,45.474852,-71.947385,,,,
1064,1064,Notre-Dame / du Curé-LaRocque,,45.473527,-71.950091,,,,
1065,1065,École secondaire de Bromptonville,,45.471896,-71.951462,,,,
1067,1067,des PME / Laval,,45.468421,-71.950278,,,,
1069,1069,Parc industriel Gene H. Kruger,,45.467879,-71.948211,,,,
107,107,Queen / Charlotte,,45.373976,-71.860705,,,,
1070,1070,Oliva-Turgeon / de la Croix,,45.470917,-71.944311,,,,
1072,1072,CSSS-IUGS Pavillon d'Youville,,45.389912,-71.892816,,,,
1073,1073,Parc Nault,,45.469693,-71.941778,,,,
1077,1077,Beaudoin / Mullins,,45.471403,-71.940009,,,,
1078,1078,Parc du Champ-de-Mars,,45.407254,-71.901422,,,,
1079,1079,Mullins / Meunier,,45.470479,-71.936128,,,,
1083,1083,College / Archie-Mitchell,,45.365499,-71.875018,,,,
1087,1087,Beckett / Musset,,45.416935,-71.926779,,,,
1088,1088,Parc André-Viger,,45.410005,-71.948886,,,,
1089,1089,Parc André-Viger,,45.410443,-71.948651,,,,
109,109,Queen (no.314),,45.378274,-71.867472,,,,
1090,1090,King Ouest / Belvédère Sud,,45.398580,-71.897566,,,,
1095,1095,Mullins / Paquin,,45.468676,-71.935236,,,,
1096,1096,boul. Queen-Victoria / Veronneau,,45.459722,-71.933124,,,,
1098,1098,boul. Queen-Victoria / des Écossais,,45.448322,-71.931060,,,,
1099,1099,boul. Queen-Victoria / des Sables,,45.419895,-71.908080,,,,
110,110,Wellington Sud (no.1700),,45.381171,-71.871827,,,,
1106,1106,Louise / Sainte-Hélène,,45.427331,-71.880744,,,,
1113,1113,boul. du Mi-Vallon / boul. Bourque,,45.376701,-71.977724,,,,
1116,1116,boul. du Mi-Vallon / boul. des Vétérans,,45.375519,-71.977493,,,,
112,112,Wellington Sud (no.1446),,45.386063,-71.881184,,,,
1121,1121,boul. du Mi-Vallon / boul. Bourque,,45.376935,-71.977740,,,,
1122,1122,King Est / 12e av. Sud,,45.408117,-71.870488,,,,
1123,1123,Terrasses 777,,45.408113,-71.872506,,,,
1127,1127,King Est / 12e av. Sud,,45.407955,-71.870775,,,,
1129,1129,LaRocque / McManamy,,45.389810,-71.890341,,,,
113,113,Wellington Sud / Côte de l'Acadie,,45.389565,-71.883829,,,,
1130,1130,de l'Union / Larocque,,45.386713,-71.890204,,,,
1133,1133,du Souvenir (no.720),,45.419109,-71.882132,,,,
1134,1134,du Souvenir (no.720),,45.419095,-71.882251,,,,
1137,1137,LaRocque / de Mère-Terésa,,45.391468,-71.890670,,,,
1139,1139,de l'Union / Saint-Louis,,45.386637,-71.891662,,,,
114,114,Wellington Sud / Richelieu,,45.392220,-71.884728,,,,
1146,1146,King Est (no.470),,45.407984,-71.878196,,,,
1147,1147,des Lys / des Quatre-Saisons,,45.421353,-71.863868,,,,
1148,1148,des Lys / des Jardins-Fleuris,,45.418714,-71.864922,,,,
115,115,Viaduc / Galt Ouest,,45.393997,-71.885921,,,,
1151,1151,College / Archie-Mitchell,,45.365352,-71.874916,,,,
1152,1152,Croissant Oxford (no.103),,45.364087,-71.871962,,,,
1156,1156,Beckett / Duvernay,,45.417016,-71.937282,,,,
1157,1157,Parc Frédéric,,45.414344,-71.937572,,,,
1158,1158,Duvernay / Prospect,,45.410858,-71.937660,,,,
1159,1159,Parc Frédéric,,45.414857,-71.937409,,,,
116,116,Wellington Sud / Aberdeen,,45.396901,-71.887560,,,,
1160,1160,Beckett / Duvernay,,45.416829,-71.937412,,,,
1161,1161,Parc du Bois-Beckett,,45.416833,-71.930476,,,,
1162,1162,Beckett / Musset,,45.416844,-71.927029,,,,
1166,1166,SAAQ,,45.403772,-71.947035,,,,
1167,1167,des Lys (résidences),,45.420479,-71.863981,,,,
1174,1174,Wellington Sud (no.400),,45.384472,-71.879681,,,,
1175,1175,Wellington Sud (no.400),,45.384381,-71.879778,,,,
1176,1176,Louis-Riel / Richard,,45.409191,-71.950275,,,,
1177,1177,Wilfrid-Grégoire / Victor-Dupuis,,45.411628,-71.954204,,,,
1178,1178,Wilfrid-Grégoire / McCrea,,45.411590,-71.956138,,,,
1179,1179,McCrea / Charles-Hamel,,45.410642,-71.956436,,,,
1184,1184,Croissant Oxford (no.107),,45.363924,-71.873461,,,,
1185,1185,Léger / Brodeur,,45.391367,-71.969729,,,,
1186,1186,Léger / Robitaille,,45.390683,-71.969806,,,,
1188,1188,de Lotbinière / chemin de North Hatley,,45.318645,-71.972258,,,,
1189,1189,Blanchette / de la Pointe-Gervais,,45.320251,-72.015257,,,,
119,119,Musée des Beaux-Arts de Sherbrooke,,45.405746,-71.894743,,,,
1190,1190,Rodrigue / Blanchette,,45.334634,-71.999347,,,,
1194,1194,Saint-Roch Sud / Blanchette,,45.334493,-71.979007,,,,
1197,1197,du Président-Kennedy / Henri-Bourassa,,45.359002,-71.994339,,,,
12,12,Aubry / de Caen,,45.390384,-71.865086,,,,
120,120,Parc James-S.-Mitchell,,45.407136,-71.896926,,,,
1200,1200,Molière / Chauveau,,45.384385,-71.969598,,,,
1201,1201,Molière / Grégoire,,45.383299,-71.969612,,,,
1203,1203,Molière / Grégoire,,45.383310,-71.969505,,,,
1204,1204,Molière / Chauveau,,45.384381,-71.969531,,,,
1208,1208,du Président-Kennedy / Daigle,,45.364002,-71.994362,,,,
1209,1209,du Curé / Bertrand-Fabi,,45.354850,-71.987992,,,,
121,121,Moore (no.361),,45.406065,-71.899338,,,,
1211,1211,Parc Central,,45.354891,-71.994057,,,,
122,122,boul. de Portland / Belvédère Nord,,45.403608,-71.903131,,,,
1220,1220,du Haut-Bois / Boulevard Bourque,,45.371178,-71.990936,,,,
1227,1227,Prospect (no.2262),,45.409094,-71.927776,,,,
1228,1228,Prospect (no.2262),,45.408974,-71.927484,,,,
1229,1229,Beckett / La Rochefoucauld,,45.416779,-71.921658,,,,
1231,1231,Belvédère Sud (no.1855),,45.377011,-71.893927,,,,
1232,1232,Prospect / Mézy,,45.410813,-71.941845,,,,
1233,1233,Prospect / Mézy,,45.410616,-71.941960,,,,
1234,1234,École du Triolet / Parc Innovation,,45.380560,-71.943643,,,,
1239,1239,boul. de l'Université / Nick,,45.354234,-71.976728,,,,
124,124,Parc du Domaine-Howard,,45.403662,-71.908369,,,,
1240,1240,boul. de l'Université / Nick,,45.354099,-71.976775,,,,
1244,1244,King Est (no.1050),,45.407982,-71.865970,,,,
125,125,Serres du Parc du Domaine-Howard,,45.403668,-71.910450,,,,
1250,1250,boul. de l'Université / Labbé,,45.354554,-71.970740,,,,
1251,1251,du Haut-Bois Sud / Henri,,45.365471,-71.985689,,,,
1254,1254,Henri-Bourassa / Faillon,,45.359445,-72.000180,,,,
1255,1255,Henri-Bourassa / Faribault,,45.359120,-71.996104,,,,
1256,1256,du Président-Kennedy / D'Arcy-McGee,,45.361617,-71.994343,,,,
1259,1259,boul. de l'Université / Papineau-Couture,,45.372811,-71.956050,,,,
1260,1260,boul. de l'Université / de l'Indiana,,45.367802,-71.958720,,,,
1264,1264,boul. de l'Université / Albéric-Dussault,,45.360154,-71.963836,,,,
1267,1267,boul. de l'Université / de l'Indiana,,45.368075,-71.958449,,,,
1268,1268,boul. de l'Université / Fernand-Bachand,,45.369886,-71.957683,,,,
1271,1271,Prospect / Boisjoli,,45.409214,-71.916088,,,,
1272,1272,École Jean-XXIII,,45.374911,-71.900247,,,,
1273,1273,André / Thibault,,45.374724,-71.903217,,,,
1274,1274,André / de l'Habitat,,45.373038,-71.903453,,,,
1275,1275,de l'Habitat / Ludger,,45.372890,-71.902524,,,,
1276,1276,Belvédère Sud / Thibault,,45.375175,-71.894151,,,,
1277,1277,Belvédère Sud / Leslie,,45.371987,-71.893510,,,,
1278,1278,Belvédère Sud / Mirco,,45.373353,-71.893794,,,,
1279,1279,Belvédère Sud / Thibault,,45.375284,-71.894497,,,,
1280,1280,André / de l'Habitat,,45.372993,-71.903257,,,,
1281,1281,André / Thibault,,45.374806,-71.903070,,,,
1282,1282,École Jean-XXIII,,45.374786,-71.900746,,,,
1283,1283,boul. Industriel / Missisquoi,,45.395434,-71.981767,,,,
1284,1284,Yamaska / Memphrémagog,,45.393433,-71.983552,,,,
1285,1285,Tomifobia / Madakik,,45.391580,-71.983513,,,,
1286,1286,Tomifobia / Coaticook,,45.391259,-71.981594,,,,
1287,1287,Coaticook / Alsigon,,45.392288,-71.981354,,,,
1288,1288,Barton / Memphrémagog,,45.394073,-71.978608,,,,
1289,1289,Barton / boul. Industriel,,45.395390,-71.978672,,,,
129,129,Prospect / de l'Ontario,,45.409417,-71.907633,,,,
1290,1290,de Montréal / Joseph-Rosenbloom,,45.406286,-71.896862,,,,
1292,1292,Prospect (no.2525),,45.410026,-71.934079,,,,
1293,1293,Prospect / boul.Jacques-Cartier,,45.408975,-71.918711,,,,
1294,1294,Parc Jacques-Cartier,,45.396768,-71.918657,,,,
1296,1296,Simard (no.1620),,45.426004,-71.916126,,,,
1297,1297,CHUS Fleurimont / 12e av. Nord,,45.449042,-71.863291,,,,
1298,1298,CHUS Fleurimont / 12e av. Nord,,45.448699,-71.862936,,,,
1299,1299,boul. Industriel (no.4155),,45.395900,-71.966174,,,,
130,130,École Sainte-Anne,,45.411548,-71.908104,,,,
1301,1301,King Est (no.2140),,45.411103,-71.843022,,,,
1305,1305,boul. du P. Saint-Joseph / boul. de Mgr-Fortier,,45.424590,-71.962910,,,,
1306,1306,King Est / Galt Est,,45.408657,-71.852127,,,,
1307,1307,des Paysans (no.1006),,45.422041,-71.868234,,,,
1308,1308,des Lys / des Tulipes,,45.423290,-71.864848,,,,
1309,1309,des Lys / des Quatre-Saisons,,45.421409,-71.864404,,,,
131,131,de l'Ontario / Leclerc,,45.414095,-71.909341,,,,
1312,1312,Louis-Riel (no.795),,45.410507,-71.952962,,,,
1314,1314,du Président-Kennedy / Frédéric,,45.356697,-71.994335,,,,
1315,1315,boul. de l'Université / Galt Ouest,,45.374334,-71.953972,,,,
1316,1316,Denault / Cabana,,45.388306,-71.927493,,,,
1317,1317,Val-du-Lac,,45.314276,-72.017392,,,,
1319,1319,13e av. Sud (no.16),,45.407600,-71.869456,,,,
132,132,de l'Ontario / Beckett,,45.416232,-71.910326,,,,
1321,1321,King Ouest / de la Burlington,,45.397892,-71.940873,,,,
