route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,EXT_VOITURE,EXT_VOYAGE_ORDRE
17S,11013,232897,Station du Cégep,,0,1,26410_366096_366155,"1",2
2,11013,232898,Université Bishop's,,1,1,26454_366545_366574,"1",3
11,11013,232899,McGregor / Sauvignon,,0,1,26372_365109_365174,"1",4
11,11013,232901,Université Bishop's,,1,1,26373_365189_365261,"1",6
7,11013,232903,Station du Cégep,,0,1,26503_368418_368447,"1",8
19,11014,232906,Galt O. / Lisieux,,1,2,26419_366398_366430,"2",2
11,11014,232908,Université Bishop's,,1,2,26373_365215_365261,"2",4
2,11014,232909,Station du Cégep,,0,2,26453_366515_366544,"2",5
12,11014,232910,Carrefour de l'Estrie,,1,2,26383_365373_365411,"2",6
16,11014,232912,Station du Campus,,1,2,26401_365744_365766,"2",8
9,11014,232913,Place Fleurimont,,0,2,26524_368964_369007,"2",9
9,11014,232914,Station du Cégep,,1,2,26526_369041_369057,"2",10
1,11014,232915,Carrefour de l'Estrie,,1,2,26423_365077_365108,"2",11
11X,11014,232916,Habitat / André,,1,2,26378_365324_365325,"2",12
11,11014,232917,Carrefour de l'Estrie,,0,2,26372_365129_365161,"2",13
4,11014,232918,Station du Cégep,,0,2,26464_367143_367165,"2",14
4,11014,232919,Carrefour de l'Estrie,,1,2,26466_367236_367257,"2",15
1,11014,232920,Talbot / Bowen,,0,2,26422_365000_365051,"2",16
1,11014,232921,Carrefour de l'Estrie,,1,2,26423_365052_365108,"2",17
14,11015,232924,Station du Campus,,1,3,26395_365609_365644,"3",2
18S,11015,232925,Place Dussault,,1,3,26416_366274_366309,"3",3
17,11015,232926,Station du Cégep,,0,3,26406_365854_365913,"3",4
4,11015,232927,Galt E. / Conseil,,0,3,26464_367165_367185,"3",5
4,11015,232929,Carrefour de l'Estrie,,1,3,26467_367318_367378,"3",7
4,11015,232930,Station du Cégep,,0,3,26464_367143_367165,"3",8
9,11015,232931,Place Fleurimont,,0,3,26524_368991_369007,"3",9
5,11015,232933,13e Avenue / 24-Juin,,0,3,26495_367533_367556,"3",11
5,11015,232934,Station du Cégep,,1,3,26496_367557_367579,"3",12
14,11015,232935,Station du Campus,,1,3,26395_365603_365644,"3",13
14,11018,232980,Station du Campus,,1,6,26395_365603_365644,"6",20
16,11018,232981,Prospect / Ontario,,0,6,26399_365669_365714,"6",21
16,11018,232982,Station du Campus,,1,6,26401_365721_365766,"6",22
9,11018,232983,Allard / Normand,,0,6,26524_368964_369014,"6",23
9,11018,232985,Station du Campus,,1,6,26526_369025_369085,"6",25
11,11018,232986,Habitat / André,,1,6,26374_365295_365321,"6",26
16,11018,232988,Prospect / Ontario,,0,6,26399_365669_365714,"6",28
16,11018,232989,Station du Campus,,1,6,26401_365721_365766,"6",29
8,11018,232990,CHUS (Urgence),,0,6,26514_368686_368743,"6",30
8,11018,232991,Station du Dépôt,,1,6,26515_368750_368778,"6",31
3,11019,232994,13e Avenue / 24-Juin,,0,7,26455_366894_366961,"7",2
3,11019,232995,Carrefour de l'Estrie,,1,7,26456_366962_367032,"7",3
1,11019,232996,CHUS H.-D. (Bowen),,0,7,26422_365000_365038,"7",4
1,11019,232998,Station du Cégep,,1,7,26423_365052_365077,"7",6
19S,11020,233001,Station du Cégep,,0,8,26420_366444_366497,"8",2
1,11020,233002,Talbot / Bowen,,0,8,26422_365028_365051,"8",3
5,11020,233004,13e Avenue / 24-Juin,,0,8,26495_367533_367556,"8",5
5,11020,233005,Station du Cégep,,1,8,26496_367557_367579,"8",6
14,11020,233006,Station du Campus,,1,8,26395_365603_365644,"8",7
12,11020,233008,Station du Cégep,,0,8,26382_365336_365372,"8",9
9,11021,233011,Station du Cégep,,1,9,26526_369025_369057,"9",2
4,11021,233012,Carrefour de l'Estrie,,1,9,26466_367236_367257,"9",3
4,11021,233013,Galt E. / Conseil,,0,9,26464_367143_367185,"9",4
4,11021,233015,Station du Cégep,,1,9,26466_367200_367236,"9",6
12,11021,233016,Carrefour de l'Estrie,,1,9,26383_365373_365411,"9",7
11,11021,233017,Station du Campus,,1,9,26373_365203_365215,"9",8
12,11022,233020,Station du Cégep,,0,10,26382_365336_365372,"10",2
9,11022,233021,Allard / Normand,,0,10,26524_368991_369014,"10",3
9,11022,233023,Station du Campus,,1,10,26526_369025_369085,"10",5
15,11022,233024,Parc Blanchard,,0,10,26397_365647_365655,"10",6
15,11022,233025,Station du Campus,,1,10,26398_365656_365668,"10",7
11,11023,233062,Plateau St-Joseph,,0,11,26372_365109_365181,"11",11
11,11023,233063,Université Bishop's,,1,11,26373_365182_365261,"11",12
2,11023,233064,Station du Cégep,,0,11,26453_366515_366544,"11",13
14,11023,233065,Station du Campus,,1,11,26395_365603_365644,"11",14
16,11023,233066,Prospect / Ontario,,0,11,26399_365669_365714,"11",15
16,11023,233067,Station du Campus,,1,11,26401_365721_365766,"11",16
16,11023,233068,Prospect / Ontario,,0,11,26399_365669_365714,"11",17
16X,11023,233069,Station du Campus,,1,11,26405_365852_365853,"11",18
6,11023,233070,Galt O. / Lisieux,,1,11,26499_368295_368306,"11",19
19,11023,233072,Station du Cégep,,0,11,26418_366353_366397,"11",21
7,11024,233075,CHUS (Urgence),,0,12,26502_368320_368367,"12",2
7,11024,233076,Habitat / André,,1,12,26506_368368_368417,"12",3
7,11024,233077,Station du Cégep,,0,12,26502_368320_368348,"12",4
5,11025,233080,Station du Cégep,,1,13,26496_367557_367579,"13",2
4,11025,233081,Galt E. / Conseil,,0,13,26464_367165_367185,"13",3
4,11025,233083,Carrefour de l'Estrie,,1,13,26466_367200_367257,"13",5
3,11025,233084,13e Avenue / 24-Juin,,0,13,26455_366894_366961,"13",6
3,11026,233087,Carrefour de l'Estrie,,1,14,26456_366962_367032,"14",2
26,11026,233088,Industriel / Letellier,,0,14,26439_366764_366771,"14",3
26,11026,233089,Carrefour de l'Estrie,,1,14,26440_366772_366778,"14",4
17,11026,233090,Place Dussault,,1,14,26408_365935_365971,"14",5
17,11026,233091,Station du Cégep,,0,14,26407_365972_366034,"14",6
5X,11026,233092,13e Avenue / 24-Juin,,0,14,26497_368266_368267,"14",7
5,11026,233093,Station du Cégep,,1,14,26496_367557_367579,"14",8
4X,11026,233094,Carrefour de l'Estrie,,1,14,26473_367529_367530,"14",9
3,11026,233095,13e Avenue / 24-Juin,,0,14,26455_366894_366961,"14",10
3,11026,233096,Carrefour de l'Estrie,,1,14,26456_366962_367032,"14",11
4,11026,233097,Galt E. / Conseil,,0,14,26464_367143_367185,"14",12
4,11026,233099,Carrefour de l'Estrie,,1,14,26466_367200_367257,"14",14
17,11026,233100,Place Dussault,,1,14,26408_365935_365971,"14",15
18,11027,233138,Station du Campus,,0,15,26413_366160_366197,"15",31
18,11027,233139,Frontière / Bourassa,,1,15,26414_366198_366230,"15",32
18,11027,233140,Station du Campus,,0,15,26413_366160_366197,"15",33
11,11027,233141,McGregor / Sauvignon,,0,15,26372_365156_365174,"15",34
11,11027,233143,Habitat / André,,1,15,26374_365269_365321,"15",36
11,11027,233144,McGregor / Sauvignon,,0,15,26372_365129_365174,"15",37
4,11028,233147,Carrefour de l'Estrie,,1,16,26466_367200_367257,"16",2
17,11028,233148,Place Dussault,,1,16,26408_365935_365971,"16",3
17,11028,233149,Station du Cégep,,0,16,26406_365854_365913,"16",4
5,11028,233150,13e Avenue / 24-Juin,,0,16,26495_367533_367556,"16",5
7S,11029,233153,Carrefour de l'Estrie,,0,17,26508_368612_368652,"17",2
26,11029,233154,Industriel / Letellier,,0,17,26439_366764_366771,"17",3
26,11029,233155,Carrefour de l'Estrie,,1,17,26440_366772_366778,"17",4
3,11029,233156,Station du Dépôt,,0,17,26455_366894_366935,"17",5
8,11029,233157,CHUS (Urgence),,0,17,26514_368707_368743,"17",6
8,11029,233158,Station du Campus,,1,17,26515_368750_368802,"17",7
16,11029,233160,Station du Campus,,1,17,26401_365721_365766,"17",9
14,11029,233161,Station du Cégep,,0,17,26394_365564_365602,"17",10
14,11029,233162,Station du Campus,,1,17,26395_365603_365644,"17",11
16,11029,233163,Prospect / Ontario,,0,17,26399_365669_365714,"17",12
16,11029,233164,Station du Campus,,1,17,26401_365721_365766,"17",13
9,11029,233165,Allard / Normand,,0,17,26524_368964_369014,"17",14
9,11029,233167,Station du Campus,,1,17,26526_369025_369085,"17",16
14,11029,233168,Station du Cégep,,0,17,26394_365564_365602,"17",17
4,11029,233169,Carrefour de l'Estrie,,1,17,26466_367236_367257,"17",18
12,11029,233170,Station du Cégep,,0,17,26382_365336_365372,"17",19
17,11029,233171,Place Dussault,,1,17,26408_365914_365971,"17",20
17,11029,233172,Station du Cégep,,0,17,26406_365854_365913,"17",21
7,11029,233173,Habitat / André,,1,17,26506_368387_368417,"17",22
7,11029,233174,CHUS (Urgence),,0,17,26502_368320_368367,"17",23
14,11032,233215,Station du Cégep,,0,20,26394_365564_365602,"20",3
7,11032,233216,Habitat / André,,1,20,26506_368387_368417,"20",4
7,11032,233217,CHUS (Urgence),,0,20,26502_368320_368367,"20",5
7,11032,233218,Habitat / André,,1,20,26506_368374_368417,"20",6
7,11032,233219,CHUS (Urgence),,0,20,26502_368320_368367,"20",7
7,11032,233220,Belvédère / Hallée,,1,20,26507_368473_368518,"20",8
7,11032,233221,Station du Cégep,,0,20,26503_368418_368447,"20",9
14,11032,233222,Station du Campus,,1,20,26395_365603_365644,"20",10
16,11032,233223,Prospect / Ontario,,0,20,26399_365669_365714,"20",11
16,11032,233224,Station du Campus,,1,20,26401_365721_365766,"20",12
15,11032,233225,Parc Blanchard,,0,20,26397_365647_365655,"20",13
15,11032,233226,Station du Campus,,1,20,26398_365656_365668,"20",14
9,11032,233227,Allard / Normand,,0,20,26524_368964_369014,"20",15
9,11032,233229,Station du Campus,,1,20,26526_369025_369085,"20",17
14,11032,233230,Station du Cégep,,0,20,26394_365564_365602,"20",18
12,11032,233231,Carrefour de l'Estrie,,1,20,26383_365373_365411,"20",19
4,11032,233232,Chalumeau / Galvin,,0,20,26464_367143_367199,"20",20
4,11032,233233,Carrefour de l'Estrie,,1,20,26466_367200_367257,"20",21
17,11032,233234,Place Dussault,,1,20,26408_365935_365971,"20",22
17,11032,233235,Carrefour de l'Estrie,,0,20,26406_365854_365891,"20",23
11X,11032,233236,Station du Campus,,1,20,26379_365328_365329,"20",24
16,11032,233237,Prospect / Ontario,,0,20,26399_365669_365714,"20",25
16,11032,233238,Station du Campus,,1,20,26401_365721_365766,"20",26
6,11032,233239,Galt O. / Bélanger,,1,20,26499_368295_368305,"20",27
6,11032,233241,Station du Campus,,0,20,26498_368268_368294,"20",29
6,11032,233242,Lisieux / Lachine,,1,20,26499_368295_368315,"20",30
15,11032,233244,Station du Campus,,1,20,26398_365656_365668,"20",32
6,11032,233245,Galt O. / Bélanger,,1,20,26499_368295_368305,"20",33
6,11032,233247,Station du Campus,,0,20,26498_368268_368294,"20",35
8,11032,233248,CHUS (Urgence),,0,20,26514_368686_368743,"20",36
8,11032,233249,Station du Dépôt,,1,20,26515_368750_368778,"20",37
8,11036,233292,CHUS (Urgence),,0,24,26514_368686_368743,"24",3
7,11036,233293,Habitat / André,,1,24,26506_368368_368417,"24",4
7,11036,233294,Station du Cégep,,0,24,26502_368320_368348,"24",5
2,11036,233295,Université Bishop's,,1,24,26454_366545_366574,"24",6
11,11036,233296,Plateau St-Joseph,,0,24,26372_365109_365181,"24",7
11,11036,233297,Université Bishop's,,1,24,26373_365182_365261,"24",8
2,11036,233298,Station du Cégep,,0,24,26453_366515_366544,"24",9
14,11036,233299,Station du Campus,,1,24,26395_365603_365644,"24",10
6,11036,233300,Galt O. / Bélanger,,1,24,26499_368295_368305,"24",11
6,11036,233302,Station du Campus,,0,24,26498_368268_368294,"24",13
18,11036,233303,Frontière / Bourassa,,1,24,26414_366198_366230,"24",14
